Review,Rating
"poor value stayed monaco seattle july, nice hotel priced 100- 150 night not, hotel takes beating quotient, experience simply average, nothing exceptional paying 300+ n't ca n't terribly disappointed, wife stayed nicest suites 200/night felt like overpaying, best advice shop, quality-wise league average marriott nice best western,  ",2
"nice value seattle stayed 4 nights late 2007. looked comparable hilton marriott westin area points/miles n't gave monaco shot, pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive things say service, downside relatively small exercise room treadmill heck east coast time ran person 5 days, definitely stay,  ",4
"nice hotel good location hotel kimpton design whimsical vibe fun, staff young casual problem hotel busy stay friendly helpful, group reserved rooms gave connecting rooms fuss, not busy week.the rooms decent size not huge pretty average city hotel, beds nice bathrooms clean bright pocket doors ideal busy bathroom, room design bright cheery flat panel tv, location little noisy fine 5th floor, location convenient walkable attractions new central library sam art museum benaroya concert hall pike place market, parking steep 29/night, evening wine receptions popular,  ",4
"nice hotel not nice staff hotel lovely staff quite rude, bellhop desk clerk going way make things difficult, waited forever check heavy bags no help getting throught double doors room, worst desk clerk checking tap tap tap car waited pick 20 minutes, got home noticed 1,000 dollar hold credit card took 5 phonecalls 2 faxes 1 week resolved, stay warwck 4th lenora rooms ok..but al friendly faces tiring day airport,  ",3
"great hotel night quick business trip, loved little touches like goldfish leopard print robe, complaint wifi complimentary not internet access business center, great location library service fabulous,  ",4
"horrible customer service hotel stay february 3rd 4th 2007my friend picked hotel monaco appealing website online package included champagne late checkout 3 free valet gift spa weekend, friend checked room hours earlier came later, pulled valet young man just stood, asked valet open said, pull bags didn__Ç_é_ offer help, got garment bag suitcase came car key room number says not valet, car park car street pull, left key working asked valet park car gets, went room fine bottle champagne oil lotion gift spa, dressed went came got bed noticed blood drops pillows sheets pillows, disgusted just unbelievable, called desk sent somebody 20 minutes later, swapped sheets left apologizing, sunday morning called desk speak management sheets aggravated rude, apparently no manager kind supervisor weekend wait monday morning, young man spoke said cover food adding person changed sheets said fresh blood rude tone, checkout 3pm package booked, 12 1:30 staff maids tried walk room opening door apologizing closing, people called saying check 12 remind package, finally packed things went downstairs check, quickly signed paper took, way took closer look room, unfortunately covered food offered charged valet, called desk ask charges lady answered snapped saying aware problem experienced monday like told earlier, life treated like hotel, not sure hotel constantly problems lucky ones stay recommend anybody know,  ",1
"disappointed say anticipating stay hotel monaco based reviews seen tripadvisor, definitely disppointment, decor room hotel envisioned nice, housekeeping staff impressive extremely polite cheery helpful, desk bellmen standard customer service, lots little things easily overlooked broken make mirror sagging post bathroom jiggly entrance handle room did n't feel secure handle nearly falling door, husband early morning flight mid-week asked cab called, suggested cab ride cost double private car flat-rate n't case, knew cost cab 30 car 38 bell staff insisted like 65 taxi ride, cab driver later explained bell staff kick referrals, preferred guests city and/or hotel hotel staff looking best interests, new years planned dining restaurant hotel new year day, came dressed dinner told desk closed holiday, asked nearby response good luck finding today, good luck, thanks help, feature needed hotel business centre work, downstairs service completely semi-funcitional, internet service out-sourced ended spending 50 money n't work no refund 2.5 hours vacation time trouble-shooting internet company toll free service line, asked desk times assistance told, worst experience time asked desk assistance got response included shrug say oh bad, majority staff attitude just simply did not care needed help dared intrude time got snotty response, occasions caught desk girls smirking thought turned n't, talk frustrating, honesty n't wait check, nice decor liked goldfish housekeeping staff great end hotel want dash door n't way not concerned taking greet pretty ignored desk area unless approached, time street westin, saw nothing smiling faces coming going hotel,  ",2
"fantastic stay monaco seattle hotel monaco holds high standards kimpton hotel line, having stayed kimpton hotels cities easily say seattle hotel monaco best seen, service attentive prompt, based member kimpton loyalty program upgraded 10th floor room great view 4th street excellent public library kitty-corner hotel, highly recommend tour public library blown away, room quite spacious beautiful flat-screen television dvd/cd player, exercise room pretty standard kimpton size means adequate not outstanding eliptical cardio machines stationary bikes personal viewing screens, cardio machine screens accept dvd not seen, kimpton hotels hotel monaco line particular hotel lobby stylish quirky inviting, easy imagine spending time relaxing comfortable over-stuffed chairs, restaurant attached hotel sazerac good, far eaten lunch look forward breakfast tomorrow, kimpton properties able connect free highspeed internet ethernet seconds cruising web checking email office no problems, opinion ca n't wrong kimpton hotel seattle hotel monaco certainly excellent choice,  ",5
"good choice hotel recommended sister, great location room nice, comfortable bed- quiet- staff helpful recommendations restaurants, pike market 4 block walk, stay,  ",5

"not rent resort villa rentals, rented ocean villa resort villa rentals, stay group enter condo key claiming rented condo repair men condo 5 7 days concierge finally told problem not fixed left broken air conditioners broken freezer no washcloths numerous smaller problems, xavier beby not return phone calls emails, unable reach returned home, security deplorable company completely unresponsive problems, expected basic appliances functioning i.e, refrigerator freezer not, highly recommend visiting puerto rico not rent resort villa rentals,  ",1
"not conferences groups need internet no internet, employer booked hotel week worldwide sales conference, group 300 people, presenters internet working order present, attendees needed internet check email work done.the wi-fi internet network did not work day hotel added wife router network not working.other issues, food drink prices double local places, complimentary water bottles room not replaced, maintenance going late night used potent chemical smell inside room door jamb gap making feel sick couple nights.finally beach not great, el condado beach san juan better,  ",1
"beautiful resort just got staying 4 days wyndham rio mar beach resort rio grande pr, great time, beautiful classy, food expensive, went eat day rent car wanted, resort 30 mins away airport lot traffic, beach right resort not long walk, perfect place spend vacation, rooms cozy maintained, rooms located infront resort beautiful scenic view rain forest surrounding areas, rooms course scenic view beautiful ocean, staff friendly not complaints whatsoever, valet 20/day self parking 15/day, not really liked resort, n't mind staying, loved,  ",5
"ca n't wait, fiance simply loved resort, great view floor 5. spa package great best massage, food costly great taste favorite shimas pastries erl cafe cafe servers bit slow service, make sure tript grill room good food great scenery, tiki grill voted best cocktails, hammocks die, marbella breakfast yum yum, say blow budget worth vacation, enjoyed re-visit, kudos gasha josie making stay pleasant, pool hot tub grounds clean, great music played, wonderful vacation, thank,  ",5
"underpromised overdelivered stayed 6th 8th june husband toddlers sorry did not stay longer, yes prices inflated dining food great worth money off-site dining options well.i booked standard ocean view room check-in immediately given upgrade ocean suite cute comfortable crib no charge baby daughter appreciated, surroundings beautiful mantained rooms clean husband loved bed worshipped pillows staff best far, felt like time thinking making requests kind read mind did pleased asking check-in clerk room maid looked forward complete satisfaction.looking tips, enroll byrequest program previous lodging not required, not rewards long-term basis instant benefits i.e, express check-in check-out not charged fridge byrequest rep. called daily looking needs, definitely considering going resort outstanding puertorican attraction,  ",5
"great get-away, arranged quick 5 day/4 nigh getaway wyndham rio mar great vacation resort top-notch inside, located roughly 35 minutes east san juan close el yunque national rain forest, staff friendly accomodating food drinks quite good resort prices particularly small stuff bit steep, pool beach outstanding, recommend renting car couple days buying basic stuff local markets stock room, took day trip rain forest worth time, opportunity eat various local spots dinner outstanding, food great value far experience onsite resort.enjoyed morning spa treatments great pay,  ",4
"beatiful setting st ayed wyndham 6 nights business meeting, setting absolutely beautiful, great pool beautiful beach area, brought 3 children ages 8, 11 17. loved pools, 17 year old little bored not age, ways away, younger kids loved, swam pools played ocean day, room okay nothing special small, airconditioner noisy, staff service good, food expensive,  ",4
"expensive boyfriend stayed 16-20 march, food expensive mediocre best, 50 hamburger chicken wrap sandwich w. 2 drinks ouch, beach rough sand reminded dirt, charge 25 rent fridge, twice accident, credited, charged parking did n't car, credited went wonderful horseback ride 72/person 2 hours, got asked going 1 hour 2 hour ride, boyfriend looked ea, assumption 2 hr, ride booked hotel option, enjoyed ride later complained raquel/rachel credited 10, nice professional, unlike lady concierge w. short hair cut, practically ignored approached desk head typing stood atleast minute, finally concierge assisted rest confused ordeal, complained unprofessionalism rachel, assured handle, bedding issue, gross blood stains comforter inside duvet, break, spoke ana head service, weak attempts correct problem finally called, finally re-placed fresh clean linen straight dryer, rented expensive car managed discount job 56 highly recommend trying discount aaa 3rd day wanted old san juan parking free 1st night, day 15 parking, spoke carrol man waxed eye-brows u doin, anyways audacity say heard parking free night 4 year, needless say boyfriend shenanigans hotel wanted break neck, arrogant treated lying, right wrong, removed, needless say seconds later guests arms, went timeshare presentation stayed hour wanted leave received 75 no trip, went day lady said forgot oh brother, chose hawaii florida hotel hawaii does not look good, recommendations antojitos carabali bar n grill rio grande area horseback riding stop mamayes river food great got ta, angus steak lobster tail 30, old san juan castillo fort old harbor restaurant-osj, rent car day 1st day free parking expensive park hotel.i not recommend wyndham rio mar, stay check prepared pay especially taxi deal arrogant people ps, timewarner people chanting 7:30 morning, just guys did n't pay trip does not mean wake paying guests morning noise adios,  ",1
"excellent resort just returned rio grande absolutely fantastic time, reviews website helped tremendously, rented refrigerator trip amigo snacks beer rum milk, coffee room morning happy hour afternoon ate resort time, wonderful meals lolita king seafood richie, staff courteous friendly, conccierges extremely knowledgeable eager help.the grounds absolutely beautiful,  ",5
"better expected wyndham rio del mar rio grande puerto rico better expected, writing perspective couple looking short getaway, puerto rico better expected u.s. dollars industry created strong infrastructure jobs good roads downside mc d bk costco walmart states handy needed, resort rented car not captive price 150 5 days good idea considering grnd transport airport approx 75 way downside rip 20/dy valet parking 15 self believe no shortage parking just scam tip loose n't use tickets getting car miss couple billings, moving staff great friendly helpful, not saw rooms waterfront west 2114 nice negative conference crowd using facilities no later 11pm not really problem somewhat fun, room nice tile good bath, bedding phenomenal 800 sheets great pillow heaven, open door no a/c needed, nick dime internet room 14.95 glossed free wireless lobby not wanted adequate quick connect, pools nice cabanas available reservation did n't use not closely checked, little water slide kids nothing write home, beach nice sand brown not white soft free stones shells like shells luck, restaurants palio nice good expensive alternatives area not great include richie hill great view food average not expensive definitely clear antojellos misspelled hill no atmosphere food average best probably better break lunch, day trip culebra isle great awesome beach local beach vendor food, eat pastalilos boat restaurant waterfron left strip awesome, long boat ride 75 mins 2.50, plane costs 25.00 want boat plane, n't bother hotel trip place unless no car, n't usually write compelled, place does n't need updating leat saw sour grapes gotten bumb room location ask, play golf hate courses looked nice did n't play, went gym unusual ca n't comment looked, like not sure day rate depends booked 250/dy target,  ",5
"worked, suggest renting car, starters booked year using starpoints hotel westin, fortunately wyndham honored, believe felt differently paying big room.we rented car budget airport, highly recommend, puerto rican drivers scared little.i think hotel stunningly beautiful, lobby great view beach ocean, grounds impeccably maintained, staff friendly efficient.we stayed 5 nights junior suite, interior room great, previous poster said view roof 4th floor- bad, constant noise ac units roof, paid mucho complained did not.the self parking poorly run, paid 15/day instead 20/day valet, did did not want tip time picked car, time wanted car ticket validated near lobby parking garage took 2 elevators, waste time.the pool great beach pretty nice, enjoyed going hot tub 9 pm, usually people there.i like play tennis called tennis center looking play, set guest great, nice courts, note charge 10 rental racket bring can.we avoided hotel restaurants reading comments excessive cost, instead ate local restaurants enjoyed, lots fried bananas.we took excursions, went horseback riding rainforest hiked el yunque kayaked bio bay snorkeled visited old san juan, case arranging things driving saved 40 hotel charge, bio bay diminished moon- beware, highlight snorkeling trip, used salty dog, captain crew terrific, snorkeling amazing.also advised concierges towel collectors hawking timeshare presentation wyndham, heard curious attended, hotel offered breakfast 5 day 4 night future trip st. thomas florida couples spa treatment 75 credit, promised no high pressure, sales rep long winded said no accepted, breakfast joke- water coffee packaged muffins, checkout double charged days parking cleared up.all loved trip hotel pleasure,  ",4
"fabulous resort great service resort truly favorites, loved, moment arrive drive beautiful grounds golf courses tennis courts view el yunque rain forest lobby rooms ca n't say good things, staff unbelievably nice friendly unsurpassed, constantly asked extremely helpful time, called room confirm requested taken care of.the grounds gorgeous pools nice adequate beach rentals surf little rough, restaurants free computers free internet access lobby casino spa lounge piano music, etc.we rented car recommend unless want just stay resort veg, unfortunately car parked premises vandalized scratching doors, said happened nearby hacienda able drive atvs rain forest, experience especially rain exhilarating vandalism not.it easy 30 40 minute drive san juan lot freedom, n't car free shuttle runs 10 minutes golf club restaurants tennis courts,  ",5
"nice time overall husband mini-vacation did lot relaxing, hotel clean beautifully decorated friendly staff no hour activities, normally enjoy dancing staying late n't home kids, no places, not sure season normal, resort expensive, budget left, did couple massage enjoyed, nice professional mandara spa, enjoyed shimas asian restaurant grill room okay country club, best meal spaghetti meat sauce palio amazing, did n't know spaghetti good, breakfast buffet 25 person sandwich pool 10 drinks 12, fitness center nice grounds beautiful, pools lovely quiet, need break music, course folks want quiet depends definition vacation, resort 40 minute ride old san juan, second trip puerto rico n't going tour days just, want quiet relaxing place, want entertainment check someplace,  ",3
"mommy just got 5-day/4-night stay wyndham rio mar enjoyed stay immensely, brought 7 month old daughter convenience big resort lifesaver, early bedtime ended eating resort nights, thought meal palio best, shima japanese restaurant good ended eating appetizer taking rest room baby tiredness, aqualuna food unimpressive, seafood restaurant offer 3 types fish 3 sauces prepared grilling, shuttle van main hotel restaurant complex vans came 15 minutes no big deal nice change scenery, depending budget restaurants pricey hotel dining, note concierge recommended richie cafe hill complex, great view, food okay not fabulous, owner nice, breakfast place maribela not impressive staff nice, bakery casino convenient economical, pros staff super friendly accommodating, kept commenting husband nice, amazed places indifferent guests, random staff members great hall elevators, restaurant wait staff nice, rental car small scrape valet, pointed immediately accepted damage prepared paperwork, relief believe places tried deny big hassle, cons toilet flush sounds like airplane flush i.e, super loud, trying baby asleep makes cringe, clock shone bright blue lit room dark impossible read time, good did not bring night light baby probably bad folk, got bit bugs day pool random incident, did not bed bug bites reviewer commented, whew, bugs, hotel set main road feel like driving long time compound, signage little better actual hotel building, did not kids hotel family-friendly, iguana feeding everyday fun,  ",5
"nice pricey, preferred time san juan arrived early wife conference week december, enjoyed hotel lovely facility grounds nice comfortable rooms sufficient work facility, not big beach resort people glad rented car san juan driving puerto rico traffic not timid, food count reviewers say pricing brutal, 25 breakfast buffet good luck getting 20 person ordering menu, 90 unsatisfying dinner japanese place, 130 decent nothing special italian cuisine palio, eesh, make hard not spend money, morning grabbed breakfast bakery/hole-in-the-wall entrance road/route 3 got ton food 10, wish seen sooner, wife not comfortable journeying five-minute drive away rio grande not sure options, bargain eating site, casual place golf club good resembled non-resort prices, ice cream/sweets kiosk good deal tasty closed day re-open else.nickel dime 14 bell hop fee learned getting end, tip housekeeping, included, learned check, 15/day self-park, really enjoyed rainy trip el yunque, ton fun trips old san juan, trip san juan, splurge stay el convento old san juan pck hotels strip san juan rent car day trip countryside,  ",3
"not scene conference did n't choose looking forward beach winter sun, hotel set fine grounds attractive pools long sandy beach, sea rough not possible swim sea, main gripe rooms, good size large beds room, king bed arm chairs preferable, room given overlooking ugly roof loud noise air conditioning, asked arranged asking times given room partial sea view, air conditioning blew ice cold air keeping room 62 degrees turn despite complaining nothing, cold opened door balcony room enveloped condensation, problem lack sound proofing rooms kept awake night 2 door tv, colleagues disappointed rooms overlooking car parking flat roof areas, definitely make sure book sea facing room floor.the restaurants pricey especially wine exorbitant mark-up food asian restaurant disappointing whilst palio italian good.the location ideal far san juan car really essential, hotel shuttle expensive paid 50 old san juan.overall hotel big missed having vicinity meant tied hotel restaurants,  ",2
"good caveats resort beautiful room comfortable clean, beach fantastic good thing pool crowded enjoy, apparently medical conference booked time attendees brought family members, unfortunately left pool packed wall wall, downside medical conference clear staff attendees conference important regular guests, example suppose 6 plus restaurants available dine, called make reservations saturday night told conference attendees going sight night resort closing 3 restaurants, upset eaten remaining open restaurants prior nights, believe advanced notice nice adjusted dining selections based availabilty, turned eat restaurant times, food good nice try othere restaurants.another major downside room service, ordered breakfast day problem day.aside staff curteous friendly, beach gorgeous beware locals hanging bushes walk far away resort.i recommend resort people families not really good couples,  ",2
"staff well-trained art saying no avoid hotel stay rio mar quite disappointment, feelings enhanced visited el conquistador overwhelmed experience true luxury resort, highly recommend visiting el conquistador not able stay, rio mar poorly managed hotel, desk staff appeared bombarded complaints, check-in tried assign absolutely appalling room, furniture appeared quite old dilapidated room reeked musty odor, complaining moved room bit modern n't special, staff massive dining facilities horrible, lost worlds joking ignoring patrons, able service asking managers, eventually reached conclusion needed contact manager immediately entering dining room ensure good service, check-in check-out process slow disorganized, definitely not stay, hotel needs complete overhaul best suit needs sophisticated travelers,  ",1
"stay rio mar delightful recently stayed rio mar girlfriend 4 friends 2 couples 8/27-8/31, goes accomodations rooms pretty nice balcony, agree reviews walls pretty noise hall clearly heard room, 2 rooms booked apparently separate floors able not adjoining rooms, n't bother, plenty pillows bedding, bed touch soft taste thats personal preference, bathroom nicely stocked including lotion sun cooling lotion, room nice upscale feel/touch, personally used balcony just hot humid, view half ocean half rain forest, setback tho slight ant problem rooms, called desk, initially asked like room fumigated errr doesnt mean ca n't, called bit later person answered promptly offered room change, able floor, food/dining big downside stay, felt werent choices half restaurants closed located way golf courses, david cookies appeared option breakfast didnt want sit pay 25/person, bought wrap cookie drinks brought beach, usually 8- 11 2, not bad, ate coqui pool lunch 3 days, choices limited convenient not bad, nachos, probably best thing menu, not tried, mixed drinks/cocktails run 9.50- 11 10 oz, believe mentioned previous review, rented car friend took enjoy pr outside rio mar stuck resort food, antojitos la parrilla mios dinner outside resort, places concierge provide list directions, not gone marbellas option palio dress code, dining choices better, ammenities/facilities actual resort not really large, remove golf courses pretty small, need, beach 2 second walk, provide towels way tho closes 6pm does beach, echo reivew rarely saw lifeguards duty, beach nice probably not nice caribbean beaches nice, not crowded stay trouble finding chairs arrived 10am, pool abundance chairs umbrellas wait search, quiet pool just tho good idea place farther slide, kids little loud, rented jet ski hour 100, worth fun like, rent goodies rafts kayaks bikes, girlfriend enjoyed massage spa, pamper pretty massage relaxing, plethora services choose course pricier, just thing did ruin experience, ants robe didnt notice filling form, apparently locker coudl, service staff overall courteous polite, server jose coqui spotlight experience, available prompt needed, did bring needed sure needed, attendant watersports booth not friendly initially, short felt like bothering, asked desk printer use print boarding passes, promptly logged computers desk let print, thing noticed n't specific rio mar service just slower especially new yorker fastpaced, overall people said definitely rent car, dining choices limited depending pricey, nothing ordinary new york pay kind prices know getting quality food time, none cons mentioned ruined stay bit, staff friendly met needs, concierge recommended restaurants, closing recommend rio mar just looking away not looking relaxing pool beach, exactly wanted,  ",4
"loved, just returned beautiful stay resort, slight problem check-in family wonderful time, arrived resort 3:15 saturday august 25th, room not ready not clear idea staff room ready, let change swimsuits enjoy pool room cleaned, room ready 5:30. like written food resort expensive, long island ny 10.00 pina colada 4.00 beer s not unheard, save money wal-mart route 3 heading fajardo stock snacks cereal beer wine, plenty fast food restaurants route 3 need car, rented car reviewers recommended, opinion worth renting car expensive book tours resort, valeted car everyday valet staff exceptional waited minutes car, resort breath taking immaculate, staff helpful, ate la parilla luquillo recommended resort loved restaurant, ate antojitos hill resort, food good prices reasonable, kids 9 12 loved resort, definitely return resort,  ",5
"beautiful hotel property rent car, rio mar beautiful, grounds vibrant maintained, guest room spacious contemporary, restaurants exceeded expectations far especially palio grille room, cuisine presentations amazing, breakfast inconsistent costly, overall service hotel property par, housekeeping staff left quite bit desired, whenthe staff cleaned room did adequate job, staff able actually address guest room hours 8:30 a.m. 4:30 p.m. 50 time, days returned beach daytime activities no earlier 4:30 p.m. 10 consecutive days prepare evening housekeeping staff not room constrained settle fresh towels toiletries, disappointing especially hotel price point star rating.one caveat__Çî_f plan stay longer days really rent car, unless antithesis adventurer want rio mar island point.then mercy avis desk site exorbitant rental rates worse hotel__Ç_é_ shuttle service, advice rent car pick airport way 20 miles away plan stay.would return, not visit puerto rico liked off-property offerings isla verde san juan areas, nonetheless theoretically inclusive type vacation experience puerto rico highly recommend rio mar,  ",4
"worst costumer service reservations june told casino closed october way wanted accommodate sending kids bus hotel crazy stay hotel regular hotel years, went ritz carlton- hotel treat like king best service best rating aaaaa,,  ",1
"ocean villas worth paying extra family stayed ocean villas grounds rio mar beach resort, thought paying extra ocean worth opposed golf villas long way beach, villas 2 nice pools lap pool swimmers, main hotel short walk kids come pleased, drawback resort quiet did not kids, movie night no planned activities kids, lifeguards beach resort rarely duty backs ocean.before booking looked nearby oceanfront properties.from saw walks beach places resort grounds looked horrible,  ",4
"nice resort flaws nice resort relaxing stay, friendly helpful staff lots restaurants good good food pricey, cleanliness ok rugs hallways room need overhaul, goes bathroom seen ist re-decoration quite ago, housekeeping unattentive worst i__ve experienced years.beautiful garden pool nice beach, poolside not enogh sun umbrellas.good location not far el yunque rain forest, hotel avis desk unfriendly staff not hotel fault, money spent hotel week parking fees 15 dollars plus tax oer day self parking 20 plus tax valet parks car glistening sunshine clearly rip-off,  ",4
"nice resort, recently just returned stay wyndham week 8/2 8/9, family trip included spouse 17 yr old son 12 yr old daughter, true resort perspective thought resort great beautiful grounds facilities service, employees friendly helpful accomodating issue waited quite check arrived 1 pm told room not ready time called check said soon pressed time 4 4:30 5 stated times approximate, unlike reviews oceanview room quiet cleaned timely basis noise issue doors close heavy loud no noise remotely detectable, agree quite pricey house amenities did not rent car husband does not like drive pretty confined house dining options, say meals good, tried variety restaurants say not disappointed quality food, say servers excellent, real downside really nothing 17 yr old, thank goodness brought laptop use evening lobby saved sanity, additionally 12 yr old pretty tired evening playing ocean truly beautiful day not lot water slide hair braiding, dive-in movie friday saturday great want consider offering evenings helpful younger ones, suggestion want consider offering reasonable all-inclusive option especially families appeared majority visitors, overall really enjoyed stay come children, beach beautiful service great,  ",4
